province,province_code,district,district_code,ward,ward_code,address,long,lat
Đắk Lắk,66,Lắk,656,Krông Nô,24604,"Đắk Lắk,Lắk,Krông Nô",108.255252437861,12.240125899591598
Đắk Lắk,66,Lắk,656,Nam Ka,24607,"Đắk Lắk,Lắk,Nam Ka",108.056054221862,12.311295602779
Đắk Lắk,66,Lắk,656,TT. Liên Sơn,24580,"Đắk Lắk,Lắk,TT. Liên Sơn",108.182535016999,12.4093256154805
Đắk Lắk,66,Lắk,656,Yang Tao,24583,"Đắk Lắk,Lắk,Yang Tao",108.233645555881,12.446507261099802
Đắk Lắk,66,M'Đrắk,652,Cư K Róa,24439,"Đắk Lắk,M'Đrắk,Cư K Róa",108.899834538052,12.7266961967049
Đắk Lắk,66,M'Đrắk,652,Cư M'ta,24436,"Đắk Lắk,M'Đrắk,Cư M'ta",108.770793573692,12.70716499221
Đắk Lắk,66,M'Đrắk,652,Cư Prao,24415,"Đắk Lắk,M'Đrắk,Cư Prao",108.706022979054,12.8895697625865
Đắk Lắk,66,M'Đrắk,652,Cư San,24444,"Đắk Lắk,M'Đrắk,Cư San",108.77618247093201,12.5435011963064
Đắk Lắk,66,M'Đrắk,652,Ea H'MLay,24424,"Đắk Lắk,M'Đrắk,Ea H'MLay",108.805406125681,12.827817567452199
Đắk Lắk,66,M'Đrắk,652,Ea Lai,24421,"Đắk Lắk,M'Đrắk,Ea Lai",108.736324550597,12.8284287271907
Đắk Lắk,66,M'Đrắk,652,Ea M' Doal,24430,"Đắk Lắk,M'Đrắk,Ea M' Doal",108.87481177286101,12.7946273740329
Đắk Lắk,66,M'Đrắk,652,Ea Pil,24418,"Đắk Lắk,M'Đrắk,Ea Pil",108.631929953601,12.817094779216099
Đắk Lắk,66,M'Đrắk,652,Ea Riêng,24433,"Đắk Lắk,M'Đrắk,Ea Riêng",108.80380492945,12.76602175993
Đắk Lắk,66,M'Đrắk,652,Ea Trang,24445,"Đắk Lắk,M'Đrắk,Ea Trang",108.869750188594,12.621951897249101
Đắk Lắk,66,M'Đrắk,652,Krông á,24442,"Đắk Lắk,M'Đrắk,Krông á",108.718022074636,12.6775851800156
Đắk Lắk,66,M'Đrắk,652,Krông Jing,24427,"Đắk Lắk,M'Đrắk,Krông Jing",108.704748730795,12.7682342041591
Đắk Lắk,66,M'Đrắk,652,TT. M'Đrắk,24412,"Đắk Lắk,M'Đrắk,TT. M'Đrắk",108.741290289703,12.7484013591
Đắk Lắk,66,TX. Buôn Hồ,644,Bình Thuận,24337,"Đắk Lắk,TX. Buôn Hồ,Bình Thuận",108.283428707594,12.795307179565802
Đắk Lắk,66,TX. Buôn Hồ,644,Cư Bao,24340,"Đắk Lắk,TX. Buôn Hồ,Cư Bao",108.227983296799,12.801536455237699
Đắk Lắk,66,TX. Buôn Hồ,644,Ea Blang,24325,"Đắk Lắk,TX. Buôn Hồ,Ea Blang",108.294309212993,12.8770505552355
Đắk Lắk,66,TX. Buôn Hồ,644,Ea Drông,24328,"Đắk Lắk,TX. Buôn Hồ,Ea Drông",108.337732768033,12.8848220189231
Đắk Lắk,66,TX. Buôn Hồ,644,Ea Siên,24334,"Đắk Lắk,TX. Buôn Hồ,Ea Siên",108.321282390182,12.8304096118278
Đắk Lắk,66,TX. Buôn Hồ,644,P. An Bình,24308,"Đắk Lắk,TX. Buôn Hồ,P. An Bình",108.247534297311,12.913667996490199
Đắk Lắk,66,TX. Buôn Hồ,644,P. An Lạc,24305,"Đắk Lắk,TX. Buôn Hồ,P. An Lạc",108.27596811100099,12.914740152736401
Đắk Lắk,66,TX. Buôn Hồ,644,P. Bình Tân,24332,"Đắk Lắk,TX. Buôn Hồ,P. Bình Tân",108.243061387729,12.832985895850301
Đắk Lắk,66,TX. Buôn Hồ,644,P. Đạt Hiếu,24318,"Đắk Lắk,TX. Buôn Hồ,P. Đạt Hiếu",108.254443939193,12.933827210840398
Đắk Lắk,66,TX. Buôn Hồ,644,P. Đoàn Kết,24322,"Đắk Lắk,TX. Buôn Hồ,P. Đoàn Kết",108.23476271684099,12.888953407149401
Đắk Nông,67,Cư Jút,662,Cư Knia,24658,"Đắk Nông,Cư Jút,Cư Knia",107.811626445575,12.6015529442607
Đắk Nông,67,Cư Jút,662,Đắk Drông,24652,"Đắk Nông,Cư Jút,Đắk Drông",107.79637352301701,12.639873513721001
Đắk Nông,67,Cư Jút,662,Đắk Wil,24643,"Đắk Nông,Cư Jút,Đắk Wil",107.697696646126,12.7180413204862
Đắk Nông,67,Cư Jút,662,Ea Pô,24646,"Đắk Nông,Cư Jút,Ea Pô",107.85508849790001,12.7360024442506
Đắk Nông,67,Cư Jút,662,Nam Dong,24649,"Đắk Nông,Cư Jút,Nam Dong",107.872913417115,12.646893731460901
